gate	expected_n	actual_n	status
source_layer	7	7	PASS
identity_rule	2	2	PASS
time_origin_window	35	35	PASS
event_semantics_map	0	0	PASS
required_metadata	30	30	PASS
complete_executable_operator	0	0	PASS
schema_valid_records	40	40	PASS
