anchor_id,model_variant,effect_measure,beta_administration,beta_order,effect_administration,effect_order,ci_low_administration,ci_low_order,ci_high_administration,ci_high_order,n_administration,n_order,outcomes_n_administration,outcomes_n_order,log_effect_change_admin_minus_order,absolute_log_effect_change,relative_absolute_log_effect_change_pct,ratio_of_effects_admin_to_order,direction_reversal,material_absolute_log_change,material_relative_log_change,material_effect_change
A1,enriched,OR,0.751110376413673,0.760585188268065,2.11935198904457,2.13952788084769,1.95663511195361,2.00997230184253,2.29560065953354,2.27743414609663,49114,49114,6057,6057,-0.00947481185439225,0.00947481185439225,1.24572658007809,0.990569932748374,FALSE,FALSE,FALSE,FALSE
A1,published_style_minimal,OR,0.763161860339791,0.887914098791209,2.14504785110752,2.43005550533008,1.99843840900167,2.29806733990109,2.30241285536519,2.56962433452414,49114,49114,6057,6057,-0.124752238451418,0.124752238451418,14.0500346397533,0.882715578472418,FALSE,FALSE,FALSE,FALSE
A2,enriched,HR,0.0736331168479978,0.411851123510397,1.07641181568331,1.5096096742093,0.970541944793517,1.3868592361467,1.19383031630759,1.64322471168605,6625,6625,2591,2591,-0.338218006662399,0.338218006662399,82.1214238241264,0.71303982352068,FALSE,TRUE,TRUE,TRUE
A2,landmark_48h_enriched,HR,0.243868201033083,0.524700137301433,1.27617612071045,1.68995201882044,1.13952166589469,1.53447865954985,1.42921853951136,1.86117793697638,6000,6000,2023,2023,-0.280831936268351,0.280831936268351,53.5223675969836,0.755155239023413,FALSE,TRUE,TRUE,TRUE
A2,landmark_48h_minimal,HR,0.338125392530079,0.697074581585193,1.40231633237416,2.00787024674186,1.25384603616961,1.83085996274525,1.56836727900881,2.20199415017311,6000,6000,2023,2023,-0.358949189055114,0.358949189055114,51.4936562797685,0.69840983731378,FALSE,TRUE,TRUE,TRUE
A2,published_style_minimal,HR,0.208162928020439,0.660871953609992,1.23141378501582,1.93648011929072,1.11181877140605,1.78536826553937,1.36387327586609,2.10038193508236,6625,6625,2591,2591,-0.452709025589552,0.452709025589552,68.5017760424911,0.635903138250058,FALSE,TRUE,TRUE,TRUE
