member,compressed_size,uncompressed_size
eicu-collaborative-research-database-2.0/infusionDrug.csv.gz,48940171,48940171
eicu-collaborative-research-database-2.0/intakeOutput.csv.gz,229185768,229185768
eicu-collaborative-research-database-2.0/medication.csv.gz,134280520,134280520
eicu-collaborative-research-database-2.0/patient.csv.gz,10359850,10359850
eicu-collaborative-research-database-2.0/treatment.csv.gz,42775816,42775816
