anchor_id,operator,exposure_source,model_variant,effect_measure,patients_n,outcomes_n,exposed_n,beta,standard_error,effect,ci_low,ci_high,p_value,converged,model_error
A1,strict_poe_identity,order,published_style_minimal,OR,20248,2530,7047,0.625053664475416,0.0438133176423474,1.86834621856168,1.71460226771549,2.03587599185013,3.54947100392939e-46,True,
A1,strict_poe_identity,order,enriched,OR,20248,2530,7047,0.610957977427497,0.0497928874212526,1.84219533528931,1.67090552730895,2.03104460299878,1.31277805401883e-34,True,
A1,strict_poe_identity,administration,published_style_minimal,OR,20248,2530,5538,0.669384687099136,0.0450759492347525,1.9530352230722,1.7878923178651,2.13343194354979,6.94113417210591e-50,True,
A1,strict_poe_identity,administration,enriched,OR,20248,2530,5538,0.680454047808075,0.0513608189240652,1.97477417058571,1.78566106730639,2.18391557962065,4.602832051839579e-40,True,
A1,broad_class_window,order,published_style_minimal,OR,20248,2530,7047,0.625053664475416,0.0438133176423474,1.86834621856168,1.71460226771549,2.03587599185013,3.54947100392939e-46,True,
A1,broad_class_window,order,enriched,OR,20248,2530,7047,0.610957977427497,0.0497928874212526,1.84219533528931,1.67090552730895,2.03104460299878,1.31277805401883e-34,True,
A1,broad_class_window,administration,published_style_minimal,OR,20248,2530,12362,-0.0974584297287369,0.0447484557625986,0.907140050829991,0.83096816727622,0.990294338851971,0.0294122046446843,True,
A1,broad_class_window,administration,enriched,OR,20248,2530,12362,-0.0478104288082908,0.0511542881638476,0.953314490912959,0.862369892040068,1.05385000911234,0.349978040753316,True,
A2,strict_poe_identity,order,published_style_minimal,HR,2813,1169,655,0.643879119956431,0.0629087995483381,1.90385184331472,1.68300374185571,2.15368020352484,1.38023794390792e-24,True,
A2,strict_poe_identity,order,enriched,HR,2813,1169,655,0.403847608131462,0.0658782798557435,1.49757571120704,1.31617335407827,1.70397995358892,8.77638377568816e-10,True,
A2,strict_poe_identity,administration,published_style_minimal,HR,2813,1169,518,0.655501029241009,0.0668844838925989,1.92610731174559,1.68946151787695,2.19590049083914,1.12035599018655e-22,True,
A2,strict_poe_identity,administration,enriched,HR,2813,1169,518,0.36882337660784,0.0706680893937085,1.44603217800988,1.25899837775148,1.66085127414894,1.79800836290519e-07,True,
A2,broad_class_window,order,published_style_minimal,HR,2813,1169,655,0.643879119956431,0.0629087995483381,1.90385184331472,1.68300374185571,2.15368020352484,1.38023794390792e-24,True,
A2,broad_class_window,order,enriched,HR,2813,1169,655,0.403847608131462,0.0658782798557435,1.49757571120704,1.31617335407827,1.70397995358892,8.77638377568816e-10,True,
A2,broad_class_window,administration,published_style_minimal,HR,2813,1169,870,0.188799549799232,0.0616550688854878,1.20779882469953,1.07032017781882,1.362936092561,0.0021972376354812,True,
A2,broad_class_window,administration,enriched,HR,2813,1169,870,0.0258128311509362,0.0630940199866366,1.02614886739573,0.906785658786708,1.16122425167866,0.682453859572456,True,
