analysis_population,anchor_id,model_variant,exposure_definition,effect_measure,n,outcomes_n,exposed_n,beta,standard_error,effect,ci_low,ci_high,p_value,converged,model_error,model_warnings,material_effect_change,relative_absolute_log_effect_change_pct
post_implementation,A1,published_style_minimal,order,OR,20248,2530,7047,0.625053664475416,0.0438133176423474,1.86834621856168,1.71460226771549,2.03587599185013,3.54947100392939e-46,True,,,False,7.09235464780858
post_implementation,A1,published_style_minimal,administration,OR,20248,2530,5538,0.669384687099136,0.0450759492347525,1.9530352230722,1.7878923178651,2.13343194354979,6.94113417210591e-50,True,,,False,7.09235464780858
post_implementation,A1,enriched,order,OR,20248,2530,7047,0.610957977427497,0.0497928874212526,1.84219533528931,1.67090552730895,2.03104460299878,1.31277805401883e-34,True,,,False,11.3749346024089
post_implementation,A1,enriched,administration,OR,20248,2530,5538,0.680454047808075,0.0513608189240652,1.97477417058571,1.78566106730639,2.18391557962065,4.602832051839579e-40,True,,,False,11.3749346024089
post_implementation,A2,published_style_minimal,order,HR,2813,1169,655,0.643879119956431,0.0629087995483381,1.90385184331472,1.68300374185571,2.15368020352484,1.38023794390792e-24,True,,,True,70.6777958862826
post_implementation,A2,published_style_minimal,administration,HR,2813,1169,870,0.188799549799232,0.0616550688854878,1.20779882469953,1.07032017781882,1.362936092561,0.0021972376354812,True,,,True,70.6777958862826
post_implementation,A2,enriched,order,HR,2813,1169,655,0.403847608131462,0.0658782798557435,1.49757571120704,1.31617335407827,1.70397995358892,8.77638377568816e-10,True,,,True,93.6082743512168
post_implementation,A2,enriched,administration,HR,2813,1169,870,0.0258128311509362,0.0630940199866366,1.02614886739573,0.906785658786708,1.16122425167866,0.682453859572456,True,,,True,93.6082743512168
post_implementation,A2,landmark_48h_minimal,order,HR,2544,916,571,0.687593995734269,0.0710959449035651,1.98892441120673,1.7302198896497,2.28631073839692,3.9906592701476897e-22,True,,,True,48.7482724299158
post_implementation,A2,landmark_48h_minimal,administration,HR,2544,916,814,0.352403801481984,0.0681590420133875,1.42248280842841,1.24460042411247,1.62578872791024,2.33698183535927e-07,True,,,True,48.7482724299158
post_implementation,A2,landmark_48h_enriched,order,HR,2544,916,571,0.514774679023217,0.0745098883230606,1.67326143841726,1.44590869908973,1.93636281672337,4.88735202176905e-12,True,,,True,54.1186459119841
post_implementation,A2,landmark_48h_enriched,administration,HR,2544,916,814,0.23618559323809,0.0696221691174823,1.26640932536503,1.10487106979347,1.45156536651041,0.000692855894101,True,,,True,54.1186459119841
