anchor_id,operator,exposure_source,model_variant,effect_measure,patients_n,outcomes_n,exposed_n,beta,standard_error,effect,ci_low,ci_high,p_value,converged,model_error
A2,time_varying,order,time_varying_minimal,HR,2813,1169,655,0.699118503591089,0.0651385498212705,2.01197837383966,1.77083164458567,2.28596376689758,7.14055528820086e-27,True,
A2,time_varying,order,time_varying_enriched,HR,2813,1169,655,0.465695807372676,0.0714360590069634,1.5931223095717,1.38497723754897,1.83254903000911,7.07503253337884e-11,True,
A2,time_varying,strict_administration,time_varying_minimal,HR,2813,1169,518,0.768357457637097,0.0697718621112994,2.15622165809032,1.88063055229489,2.47219839810875,3.32917029594153e-28,True,
A2,time_varying,strict_administration,time_varying_enriched,HR,2813,1169,518,0.493487230039803,0.0775535923874361,1.63801841877297,1.40703546241366,1.90692019633739,1.97622817550958e-10,True,
A2,time_varying,broad_administration,time_varying_minimal,HR,2813,1169,870,0.294136366708708,0.0625845976896959,1.3419668907981,1.18705186546293,1.51709894773302,2.60390437116624e-06,True,
A2,time_varying,broad_administration,time_varying_enriched,HR,2813,1169,870,0.13868781932873,0.0669125147093477,1.14876542165983,1.00757021063259,1.30974693383675,0.0382026432209089,True,
