anchor	comparison	both_positive_n	left_only_n	right_only_n	both_negative_n	analysis_units_n	overall_agreement	positive_agreement	negative_agreement	positive_jaccard	event_time_displacement
A1	full_strict_vs_table_only	5538	0	7412	7298	20248	0.6339391544843935	0.5990913024664647	0.663213376953835	0.42764478764478764	NOT_EVALUABLE_AGGREGATE_NOT_RETAINED
A1	full_strict_vs_source_class_window	5538	0	6824	7886	20248	0.6629790596602133	0.6187709497206704	0.6979996459550363	0.4479857628215499	NOT_EVALUABLE_AGGREGATE_NOT_RETAINED
A1	full_strict_vs_collapsed_semantics	5538	0	7184	7526	20248	0.6451995258790991	0.6065717415115005	0.6769203094081669	0.4353089136928156	NOT_EVALUABLE_AGGREGATE_NOT_RETAINED
A2	full_strict_vs_table_only	518	0	543	1752	2813	0.8069676501955207	0.656111462951235	0.865826538176427	0.4882186616399623	NOT_EVALUABLE_AGGREGATE_NOT_RETAINED
A2	full_strict_vs_source_class_window	518	0	352	1943	2813	0.8748666903661572	0.7463976945244957	0.9169419537517697	0.5954022988505747	NOT_EVALUABLE_AGGREGATE_NOT_RETAINED
A2	full_strict_vs_collapsed_semantics	518	0	353	1942	2813	0.8745111980092428	0.7458603311735061	0.9166863346707577	0.5947187141216992	NOT_EVALUABLE_AGGREGATE_NOT_RETAINED
A1	exact_identity_vs_same_class	5538	0	6824	7886	20248	0.6629790596602133	0.6187709497206704	0.6979996459550363	0.4479857628215499	NOT_EVALUABLE_AGGREGATE_NOT_RETAINED
A2	exact_identity_vs_same_class	518	0	352	1943	2813	0.8748666903661572	0.7463976945244957	0.9169419537517697	0.5954022988505747	NOT_EVALUABLE_AGGREGATE_NOT_RETAINED
A2	original_order_vs_hospital_overlap_order	646	9	130	2028	2813	0.9505865623889086	0.9028651292802237	0.966865315852205	0.8229299363057325	median 0.0 h (IQR 0.0-0.0) among units exposed under both windows
