anchor_id,operator,exposure_source,model_variant,effect_measure,patients_n,outcomes_n,exposed_n,beta,standard_error,effect,ci_low,ci_high,p_value,converged,model_error
A2,original_strict,order,time_varying_minimal,HR,2813,1169,655,0.699118503591089,0.0651385498212705,2.01197837383966,1.77083164458567,2.28596376689758,7.14055528820086e-27,TRUE,
A2,original_strict,administration,time_varying_minimal,HR,2813,1169,518,0.768357457637097,0.0697718621112994,2.15622165809032,1.88063055229489,2.47219839810875,3.32917029594153e-28,TRUE,
A2,original_strict,order,time_varying_enriched,HR,2813,1169,655,0.465695807372676,0.0714360590069634,1.5931223095717,1.38497723754897,1.83254903000911,7.07503253337884e-11,TRUE,
A2,original_strict,administration,time_varying_enriched,HR,2813,1169,518,0.493487230039803,0.0775535923874361,1.63801841877297,1.40703546241366,1.90692019633739,1.97622817550958e-10,TRUE,
A2,original_broad,order,time_varying_minimal,HR,2813,1169,655,0.699118503591089,0.0651385498212705,2.01197837383966,1.77083164458567,2.28596376689758,7.14055528820086e-27,TRUE,
A2,original_broad,administration,time_varying_minimal,HR,2813,1169,870,0.294136366708708,0.0625845976896959,1.3419668907981,1.18705186546293,1.51709894773302,2.60390437116624e-06,TRUE,
A2,original_broad,order,time_varying_enriched,HR,2813,1169,655,0.465695807372676,0.0714360590069634,1.5931223095717,1.38497723754897,1.83254903000911,7.07503253337884e-11,TRUE,
A2,original_broad,administration,time_varying_enriched,HR,2813,1169,870,0.13868781932873,0.0669125147093477,1.14876542165983,1.00757021063259,1.30974693383675,0.0382026432209089,TRUE,
A2,hospital_overlap_strict,order,time_varying_minimal,HR,2813,1169,776,0.567996401787353,0.0626740465995366,1.7647277016315,1.56073603560639,1.99538153144239,1.2725471889173e-19,TRUE,
A2,hospital_overlap_strict,administration,time_varying_minimal,HR,2813,1169,521,0.766013868015245,0.069797865311742,2.15117427619612,1.87613266644797,2.46653706815366,5.05475169599481e-28,TRUE,
A2,hospital_overlap_strict,order,time_varying_enriched,HR,2813,1169,776,0.404155861659507,0.067441727617117,1.49803741536084,1.31255091153829,1.7097364209598,2.06426404976649e-09,TRUE,
A2,hospital_overlap_strict,administration,time_varying_enriched,HR,2813,1169,521,0.489878552631546,0.0774679393084065,1.63211799148339,1.40220245362752,1.89973219005034,2.55489759734924e-10,TRUE,
A2,hospital_overlap_broad,order,time_varying_minimal,HR,2813,1169,776,0.567996401787353,0.0626740465995366,1.7647277016315,1.56073603560639,1.99538153144239,1.2725471889173e-19,TRUE,
A2,hospital_overlap_broad,administration,time_varying_minimal,HR,2813,1169,870,0.294136366708708,0.0625845976896959,1.3419668907981,1.18705186546293,1.51709894773302,2.60390437116624e-06,TRUE,
A2,hospital_overlap_broad,order,time_varying_enriched,HR,2813,1169,776,0.404155861659507,0.067441727617117,1.49803741536084,1.31255091153829,1.7097364209598,2.06426404976649e-09,TRUE,
A2,hospital_overlap_broad,administration,time_varying_enriched,HR,2813,1169,870,0.13868781932873,0.0669125147093477,1.14876542165983,1.00757021063259,1.30974693383675,0.0382026432209089,TRUE,
