anchor_id,operator,exposure_source,model_variant,effect_measure,patients_n,outcomes_n,exposed_n,beta,standard_error,effect,ci_low,ci_high,p_value,converged,model_error
A1,original_strict,order,published_style_minimal,OR,20248,2530,7047,0.625053664475416,0.0438133176423474,1.86834621856168,1.71460226771549,2.03587599185013,3.54947100392939e-46,True,
A1,original_strict,administration,published_style_minimal,OR,20248,2530,5538,0.669384687099136,0.0450759492347525,1.9530352230722,1.7878923178651,2.13343194354979,6.94113417210591e-50,True,
A1,original_broad,order,published_style_minimal,OR,20248,2530,7047,0.625053664475416,0.0438133176423474,1.86834621856168,1.71460226771549,2.03587599185013,3.54947100392939e-46,True,
A1,original_broad,administration,published_style_minimal,OR,20248,2530,12362,-0.0974584297287369,0.0447484557625986,0.907140050829991,0.83096816727622,0.990294338851971,0.0294122046446843,True,
A2,original_strict,order,published_style_minimal,HR,2813,1169,655,0.643879119956431,0.0629087995483381,1.90385184331472,1.68300374185571,2.15368020352484,1.38023794390792e-24,True,
A2,original_strict,administration,published_style_minimal,HR,2813,1169,518,0.655501029241009,0.0668844838925989,1.92610731174559,1.68946151787695,2.19590049083914,1.12035599018655e-22,True,
A2,original_broad,order,published_style_minimal,HR,2813,1169,655,0.643879119956431,0.0629087995483381,1.90385184331472,1.68300374185571,2.15368020352484,1.38023794390792e-24,True,
A2,original_broad,administration,published_style_minimal,HR,2813,1169,870,0.188799549799232,0.0616550688854878,1.20779882469953,1.07032017781882,1.362936092561,0.0021972376354812,True,
A2,hospital_overlap_strict,order,published_style_minimal,HR,2813,1169,776,0.496765024310443,0.061437822796495,1.64339631516524,1.4569556745493,1.85369499970145,6.18311081814307e-16,True,
A2,hospital_overlap_strict,administration,published_style_minimal,HR,2813,1169,521,0.655923963650483,0.0667259469727891,1.92692210109315,1.69070146480401,2.1961469017309,8.35204668096137e-23,True,
A2,hospital_overlap_broad,order,published_style_minimal,HR,2813,1169,776,0.496765024310443,0.061437822796495,1.64339631516524,1.4569556745493,1.85369499970145,6.18311081814307e-16,True,
A2,hospital_overlap_broad,administration,published_style_minimal,HR,2813,1169,870,0.188799549799232,0.0616550688854878,1.20779882469953,1.07032017781882,1.362936092561,0.0021972376354812,True,
