sample_order,random_rank,pmid,pmcid,doi,publication_year,title,supplement_status,article_specific_repo_status,article_specific_repository_urls,coder_id,review_date,main_text_reviewed,supplement_reviewed,linked_repo_reviewed,source_layer,named_native_table_reported,database_identity_rule_reported,time_origin_and_window_reported,event_semantics_reported,dose_or_route_reported,evidence_location,coder_notes
7,16,41037129,PMC12935770,10.1007/s00210-025-04653-3,2026,Investigating the impact of ramelteon on all-cause mortality in ischemic stroke ICU patients: a retrospective propensity-matched study from the MIMIC-IV database.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
10,23,41190021,PMC12580101,10.3389/fphar.2025.1551495,2025,The use of magnesium sulfate can reduce the mortality risk of cirrhosis patients: a retrospective cohort study.,retrieved_and_reviewed,generic_repository_only,,,,,,,,,,,,,,
13,34,37908905,PMC10613586,10.7759/cureus.46237,2023,A Retrospective Cohort Study of the Association of Inpatient Amlodipine Dose With Renal Complication Rates and Hospital Length of Stay.,none_linked,none_linked,,,,,,,,,,,,,,
15,46,41890797,PMC13012946,10.3389/fneur.2026.1753639,2026,Early prophylactic heparin use is associated with reduced mortality in patients with non-traumatic subarachnoid hemorrhage.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
18,58,41398831,PMC12708175,10.1097/MD.0000000000046407,2025,Relationship between antibiotic use and mortality in critical care patients undergoing hip and knee arthroplasty: A propensity score matching analysis.,none_linked,none_linked,,,,,,,,,,,,,,
35,133,41071834,PMC12513587,10.1371/journal.pone.0333795,2025,Heparin improves the mortality of patients with non-pulmonary sepsis-associated ARDS: A MIMIC-IV database analysis based on propensity score matching.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
36,134,40410920,PMC12102817,10.1186/s40001-025-02660-x,2025,Analysis of the heterogeneous treatment effect of vasoactive drug dosage and time on hospital mortality across different sepsis phenotypes: a retrospective cohort study.,retrieved_and_reviewed,none_linked,,,,,,,,,,,,,,
39,145,41069398,PMC12506791,10.2147/OAEM.S539104,2025,Early Prophylactic Anticoagulation and In-Hospital Mortality in Patients with Severe Acute Pancreatitis: A Retrospective Cohort Study.,none_linked,none_linked,,,,,,,,,,,,,,
