pmcid,supplement_href,request_url,final_url,retrieval_source,europe_pmc_status,oa_package_status,http_status,bytes,sha256,extraction_status,reviewable_text_characters_n,native_table,identity_field,event_semantics,time_rule,dose_route,executable_code
PMC11220947,13054_2024_5011_MOESM5_ESM.tif,https://pmc.ncbi.nlm.nih.gov/articles/PMC11220947/bin/13054_2024_5011_MOESM5_ESM.tif,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11220947/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,129008,040093aec9e6f0dece49cb76618c370b8d4bffba78b8da0a3a5dde090ef03f22,binary_not_text_reviewable,0,0,0,0,0,0,0
PMC11903409,DataSheet3.csv,https://pmc.ncbi.nlm.nih.gov/articles/PMC11903409/bin/DataSheet3.csv,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11903409/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,804,bc688473a39b2ee961a9f607fa8cce0397415c97e1b778a359e05ca693ba311b,text_extracted,804,0,0,0,0,0,0
PMC11903409,DataSheet1.csv,https://pmc.ncbi.nlm.nih.gov/articles/PMC11903409/bin/DataSheet1.csv,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11903409/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,1348,0b731d5f7b0ef14386940282070260bd34f899f938593f6e09c043eb9ce7190b,text_extracted,1348,0,0,0,0,1,0
PMC11903409,DataSheet2.csv,https://pmc.ncbi.nlm.nih.gov/articles/PMC11903409/bin/DataSheet2.csv,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11903409/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,897,3bac9a42ae85dd5bba9c39c68e1d4e04354ec6a63789c9bffe9c13d230198f84,text_extracted,897,0,0,0,0,0,0
PMC9792095,Table1.DOCX,https://pmc.ncbi.nlm.nih.gov/articles/PMC9792095/bin/Table1.DOCX,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9792095/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,27745,c2065e2e960ee6faf679f85fad0d264f1899039712b2be6feb446272cb9a95f2,docx_extracted,11927,0,0,0,0,0,24
PMC13375620,Table1.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC13375620/bin/Table1.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC13375620/bin/Table1.docx,pmc_direct_fallback,404,404,404,0,,not_retrieved,0,0,0,0,0,0,0
PMC11427301,Table1.DOCX,https://pmc.ncbi.nlm.nih.gov/articles/PMC11427301/bin/Table1.DOCX,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11427301/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,437137,8d6e3221d80a8b300d2a58fcbe20f7f9b1a4f4f8a165c62270eaf8dab21bc94b,docx_extracted,8582,0,0,0,0,5,0
PMC9809246,bmjopen-2022-069333supp001.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9809246/bin/bmjopen-2022-069333supp001.pdf,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9809246/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,539673,7750f1d21f3536d75b36db1909784b1891b2103f174079e7ed4188b6addf6748,pdf_extracted,20517,0,0,0,0,15,22
PMC9809246,bmjopen-2022-069333.reviewer_comments.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9809246/bin/bmjopen-2022-069333.reviewer_comments.pdf,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9809246/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,154703,31f44be59f9200a919ced44a0a2b04e8b5b53372a79df005c0c643adc049a691,pdf_extracted,15327,0,0,4,0,10,3
PMC9809246,bmjopen-2022-069333.draft_revisions.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9809246/bin/bmjopen-2022-069333.draft_revisions.pdf,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC9809246/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,3383896,49bc3777dd68a86ccea27685a391dbea4acc6a69c632b907dbdc4655d71c1a6e,pdf_extracted,150553,0,0,12,7,94,33
PMC12924432,12879_2026_12682_MOESM1_ESM.docx,https://pmc.ncbi.nlm.nih.gov/articles/PMC12924432/bin/12879_2026_12682_MOESM1_ESM.docx,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12924432/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,2074625,f3bd1e95186973e8076d3caa51b3d7abe82cf2cc7c00326351801c8a5919653e,docx_extracted,10097,0,0,0,0,0,0
PMC11602295,Table1.DOCX,https://pmc.ncbi.nlm.nih.gov/articles/PMC11602295/bin/Table1.DOCX,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11602295/supplementaryFiles,europe_pmc_supplementary_files,200,0,200,44213,bc8e3b8241f581bdc598dab3da748668fab3a3c81296dd588f45f0bdf830f3e3,docx_extracted,645,0,0,0,0,1,0
