role,representation,medication_class,metadata_dimension,records_n,available_n,available_pct
dispense,native,vte_prophylaxis,frequency,469,469,100.0
dispense,native,vte_prophylaxis,status,469,469,100.0
dispense,native,vte_prophylaxis,subject,469,469,100.0
dispense,native,vte_prophylaxis,encounter,469,469,100.0
dispense,native,vte_prophylaxis,event_time,469,469,100.0
dispense,fhir,vte_prophylaxis,route,469,469,100.0
dispense,fhir,vte_prophylaxis,dose,469,0,0.0
dispense,fhir,vte_prophylaxis,unit,469,0,0.0
dispense,fhir,vte_prophylaxis,frequency,469,469,100.0
dispense,fhir,vte_prophylaxis,status,469,469,100.0
dispense,fhir,vte_prophylaxis,subject,469,469,100.0
dispense,fhir,vte_prophylaxis,encounter,469,469,100.0
dispense,fhir,vte_prophylaxis,event_time,469,0,0.0
dispense,native,intra_abdominal_antibiotics,route,457,457,100.0
dispense,native,intra_abdominal_antibiotics,dose,457,0,0.0
dispense,native,intra_abdominal_antibiotics,unit,457,457,100.0
dispense,native,intra_abdominal_antibiotics,frequency,457,457,100.0
dispense,native,intra_abdominal_antibiotics,status,457,457,100.0
dispense,native,intra_abdominal_antibiotics,subject,457,457,100.0
dispense,native,intra_abdominal_antibiotics,encounter,457,457,100.0
dispense,native,intra_abdominal_antibiotics,event_time,457,457,100.0
dispense,fhir,intra_abdominal_antibiotics,route,457,457,100.0
dispense,fhir,intra_abdominal_antibiotics,dose,457,0,0.0
dispense,fhir,intra_abdominal_antibiotics,unit,457,0,0.0
dispense,fhir,intra_abdominal_antibiotics,frequency,457,457,100.0
dispense,fhir,intra_abdominal_antibiotics,status,457,457,100.0
dispense,fhir,intra_abdominal_antibiotics,subject,457,457,100.0
dispense,fhir,intra_abdominal_antibiotics,encounter,457,457,100.0
dispense,fhir,intra_abdominal_antibiotics,event_time,457,0,0.0
dispense,native,electrolyte_replacement,route,1614,1614,100.0
dispense,native,electrolyte_replacement,dose,1614,0,0.0
dispense,native,electrolyte_replacement,unit,1614,1614,100.0
dispense,native,electrolyte_replacement,frequency,1614,1614,100.0
dispense,native,electrolyte_replacement,status,1614,1614,100.0
dispense,native,electrolyte_replacement,subject,1614,1614,100.0
dispense,native,electrolyte_replacement,encounter,1614,1614,100.0
dispense,native,electrolyte_replacement,event_time,1614,1614,100.0
dispense,fhir,electrolyte_replacement,route,1614,1614,100.0
dispense,fhir,electrolyte_replacement,dose,1614,0,0.0
dispense,fhir,electrolyte_replacement,unit,1614,0,0.0
dispense,fhir,electrolyte_replacement,frequency,1614,1614,100.0
dispense,fhir,electrolyte_replacement,status,1614,1614,100.0
dispense,fhir,electrolyte_replacement,subject,1614,1614,100.0
dispense,fhir,electrolyte_replacement,encounter,1614,1614,100.0
dispense,fhir,electrolyte_replacement,event_time,1614,0,0.0
dispense,native,prokinetic,route,33,33,100.0
dispense,native,prokinetic,dose,33,0,0.0
dispense,native,prokinetic,unit,33,33,100.0
dispense,native,prokinetic,frequency,33,33,100.0
dispense,native,prokinetic,status,33,33,100.0
dispense,native,prokinetic,subject,33,33,100.0
dispense,native,prokinetic,encounter,33,33,100.0
dispense,native,prokinetic,event_time,33,33,100.0
dispense,fhir,prokinetic,route,33,33,100.0
dispense,fhir,prokinetic,dose,33,0,0.0
dispense,fhir,prokinetic,unit,33,0,0.0
dispense,fhir,prokinetic,frequency,33,33,100.0
dispense,fhir,prokinetic,status,33,33,100.0
dispense,fhir,prokinetic,subject,33,33,100.0
dispense,fhir,prokinetic,encounter,33,33,100.0
dispense,fhir,prokinetic,event_time,33,0,0.0
dispense,native,insulin,route,971,971,100.0
dispense,native,insulin,dose,971,0,0.0
dispense,native,insulin,unit,971,968,99.69104
dispense,native,insulin,frequency,971,971,100.0
dispense,native,insulin,status,971,971,100.0
dispense,native,insulin,subject,971,971,100.0
dispense,native,insulin,encounter,971,971,100.0
dispense,native,insulin,event_time,971,971,100.0
dispense,fhir,insulin,route,971,971,100.0
dispense,fhir,insulin,dose,971,0,0.0
dispense,fhir,insulin,unit,971,0,0.0
dispense,fhir,insulin,frequency,971,971,100.0
dispense,fhir,insulin,status,971,971,100.0
dispense,fhir,insulin,subject,971,971,100.0
dispense,fhir,insulin,encounter,971,971,100.0
dispense,fhir,insulin,event_time,971,0,0.0
administration,native,stress_ulcer_prophylaxis,route,975,205,21.025641
administration,native,stress_ulcer_prophylaxis,dose,975,949,97.333333
administration,native,stress_ulcer_prophylaxis,unit,975,949,97.333333
administration,native,stress_ulcer_prophylaxis,frequency,975,0,0.0
administration,native,stress_ulcer_prophylaxis,status,975,975,100.0
administration,native,stress_ulcer_prophylaxis,subject,975,975,100.0
administration,native,stress_ulcer_prophylaxis,encounter,975,934,95.794872
administration,native,stress_ulcer_prophylaxis,event_time,975,975,100.0
administration,fhir,stress_ulcer_prophylaxis,route,996,0,0.0
administration,fhir,stress_ulcer_prophylaxis,dose,996,996,100.0
administration,fhir,stress_ulcer_prophylaxis,unit,996,996,100.0
administration,fhir,stress_ulcer_prophylaxis,frequency,996,0,0.0
administration,fhir,stress_ulcer_prophylaxis,status,996,996,100.0
administration,fhir,stress_ulcer_prophylaxis,subject,996,996,100.0
administration,fhir,stress_ulcer_prophylaxis,encounter,996,953,95.682731
administration,fhir,stress_ulcer_prophylaxis,event_time,996,996,100.0
administration,native,vte_prophylaxis,route,1951,0,0.0
administration,native,vte_prophylaxis,dose,1951,1800,92.260379
administration,native,vte_prophylaxis,unit,1951,1863,95.489493
administration,native,vte_prophylaxis,frequency,1951,0,0.0
administration,native,vte_prophylaxis,status,1951,1951,100.0
administration,native,vte_prophylaxis,subject,1951,1951,100.0
administration,native,vte_prophylaxis,encounter,1951,1915,98.154792
administration,native,vte_prophylaxis,event_time,1951,1951,100.0
administration,fhir,vte_prophylaxis,route,1883,0,0.0
administration,fhir,vte_prophylaxis,dose,1883,1386,73.605948
administration,fhir,vte_prophylaxis,unit,1883,1385,73.552841
administration,fhir,vte_prophylaxis,frequency,1883,0,0.0
administration,fhir,vte_prophylaxis,status,1883,1883,100.0
administration,fhir,vte_prophylaxis,subject,1883,1883,100.0
administration,fhir,vte_prophylaxis,encounter,1883,1856,98.566118
administration,fhir,vte_prophylaxis,event_time,1883,1883,100.0
administration,native,intra_abdominal_antibiotics,route,1191,226,18.975651
administration,native,intra_abdominal_antibiotics,dose,1191,1144,96.053736
administration,native,intra_abdominal_antibiotics,unit,1191,1129,94.794291
